multiculturalism	cultural diversity, cross-culturalism, ethnic inclusiveness, pluralism
a pollution tax	environmental damage tax, contamination charge
zoos	wildlife park, zoological garden, menagerie
the drinking age	adulthood, legal age
Piercing and Tattoos for minors	underage tattooing, underage piercings
recycling	recovery of waste, salvaging
free newspapers	free media, independent journalism, independent media
marriage	matrimony, wedlock
cannabis	hashish, weed, marijuana
naturopathy	alternative medicine, natural medicine
male infant circumcision	infant bris, genital mutilation
solar energy	solar power, light energy, energy of the sun
National service in the United States	public service
a zero tolerance policy in schools	no tolerance policy in schools, policy of zero tolerance in educational institution
Private universities	private schooling, private higher education
human cloning	copy humans, replicate humans, duplicate humans
condoms	contraceptive, preservatives, safer sex
polygamy	polygyny, polyandry
corporal punishment in the home	domestic violence, family violence
nuclear power	nuclear energy , atomic energy, atomic power, fission power, fusion power, thermonuclear energy
development aid	foreign aid, development assistance
socialism	leftism, left-wing ideology, social democracy
mining	excavation, mining industry
endangered species	threatened species, species threatened with extinction, species facing extinction
Holocaust denial	negation of the holocaust, denying the genocide of Jews
cultivation of tobacco	growing tobacco plants, cultivation of Nicotiana tabacum
internet censorship	restricted web access, controlled internet, censored web
a flat tax	 flat-rate tax, proportional tax, marginal flat tax
the Olympic Games	olympian games, olympiad, olympics
Sex education	sexuality education, sexual health education, sex talk
libertarianism	liberalism, liberality
Bullfighting	tauromachia, tauromachy, tourada
Tibetan independence	Tibet independence movement
the three-strikes laws	habitual offender laws
executive compensation	executive pay, executive salary, employee benefits
partial birth abortions	late-term abortion, intact dilation and evacuation, dilation and extraction
gambling	betting, staking, wagering
blasphemy laws	profanity laws
school vouchers	education voucher, scholarship
censorship	suppression, restriction, blackout
Big governments	absolutism, 
single parents	lone-parents, one-parents, single mom, one parent
the right of asylum	right of political asylum
homework	school assignment, educational activity, outside assignment
hydraulic fracturing	fracking, fracing, fraccing, hydrofracking, hydrofracturing
fraternities	guild, associations, boards, brotherhoods
intellectual property rights	copyright, trade mark, patents
Gmail	google email service, free email, google mail
mobile payments	mobile money, mobile money transfer, mobile wallet
private education	private schools, independent schools, charter school
the Internet of things	 IoT
wind turbines	wind energy converter, wind energy facility, wind farm
open source software	non-proprietary software, free open software, free software
the United States Social Security	Old-Age Survivors and Disability Insurance, social security, social insurance, old age insurance
same sex marriage	gay marriage, homosexual marriage, gay wedding
Homeschooling	home study, studying at home, home education
international adoption	intercountry adoption, transnational adoption
genetic testing	genetic screening, DNA testing
the vow of celibacy	celibacy, abstinence
flag burning	desecration of a flag, violation of flag protocol, destroy a flag in public, damage a flag in public
Palestinian independence	the independent State of Palestine, the independent State of Palestine
electronic voting	computer-mediated voting, e-voting 
wind power	wind energy, the use of wind to provide the mechanical power, renewable energy, wind's mechanical energy
a phase-out of lightweight plastic bags	reduction in lightweight plastic bags, ban on lightweight plastic shopping bags plastic
boxing	pugilism, fighting 
reality television	reality television series, reality television programs, reality TV
direct democracy	pure democracy 
trans fats usage in food	the use of trans fats in food, using trans fats in food
government regulation	government rules, government laws, the regulatory requirements of the government
doping in sport	taking illegal substances to improve performances in sport, the use of banned substances in sport
fishing	angling, trawling, seining, catching fish
the freedom of speech	the freedom to articulate an opinion, free speech, freedom of expression
coal mining	extracting coal from the ground, extraction of coal deposits
the speed limit	road speed limits, the legal maximum or minimum speed
suicide	self-destruction, taking one's own life, killing oneself, self-murder
tower blocks	build a tower made of blocks
the attorney-client privilege	keeping confidential communications between attorney and their clients, lawyer–client privilege 
international aid	overseas aid, foreign aid, foreign assistance
hydroelectric dams	hydroelectric facility, hydroelectric power stations
gun control	firearms regulation, the laws regulating the use of firearms by civilians, firearm policies
the double jeopardy defense	double jeopardy clause, double jeopardy, the defense of double jeopardy
anti-social behavior orders	prevent antisocial behaviour, punishments for antisocial behaviour
biofuels	ethanol, biodiesel, fuel derived from living matter, bioenergy 
disposable diapers	diapers, disposable baby diapers 
corporal punishment	physical punishment, a punishment causing physical pain, spanking, slapping, pinching, pulling, twisting, violence
